,Nazwa,Cena,Nominał,Waga,Stop,Średnica,Rant ,Producent
27,Tokelau: Zodiac Series - Byk 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
28,Tokelau: Zodiac Series - Panna 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
29,Tokelau: Zodiac Series - Skorpion 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
30,Tokelau: Zodiac Series - Strzelec 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
31,Tokelau: Zodiac Series - Ryby 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
32,Tokelau: Zodiac Series - Waga 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
33,Tokelau: Zodiac Series - Lew 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
34,Tokelau: Zodiac Series - Bliźnięta 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
35,Tokelau: Zodiac Series - Koziorożec 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
36,Tokelau: Zodiac Series - Rak 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
37,Tokelau: Zodiac Series - Baran 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
38,Tokelau: Zodiac Series - Wodnik 1 uncja Srebra 2021,"145,00 zł",5 $,1 uncja,Ag .999,"38,6 mm",Ząbkowany ,
39,Congo: Prehistoric Life - Mamut 1 uncja Srebra 2021,"159,00 zł",20 Franc,1 uncja,Ag .9999,"38,6 mm",Ząbkowany ,
40,Quokka 1 uncja Srebra 2021 Kolorowany Proo,"295,00 zł",1 AUD,1 uncja,Ag .999,"40,9 mm",Ząbkowany ,Perth Mint
41,The Great Old One: Cthulhu 1 uncja Srebra 202,"149,00 zł",2$,1 uncja,Ag .999,39 mm,,Private Mint 
42,Anguilla: Coat of Arms 1 uncja Srebra 202,"145,00 zł",2$,1 uncja,Ag .999,39 mm,Ząbkowany ,Scottsdale Mint 
43,Equilibrium 1 uncja Srebra 201,"149,00 zł",5$,1 uncja,Ag .999,38 mm,Ząbkowany ,Pressburg Mint
44,Wielka Piątka: Bawół 1 Uncja Srebra 202,"299,00 zł",5 Rand,1 uncja,Ag .999,"38,7 mm",Ząbkowany ,The South Africa Mint
45,Saint Vincent i Grenadyny: Pax Et Justitia 1 uncja Srebra 202,"145,00 zł",2$,1 uncja,Ag .9999,39 mm,Ząbkowany ,Scottsdale Mint 
46,One Love 1 uncja Srebra 2021 Proo,"315,00 zł",1 AUD,1 uncja,Ag .9999,"40,9 mm",Ząbkowany ,Perth Mint
